Neighborhood Reporting Area,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code
DITTMAR--SLAUGHTER,"15,697","6,333","15,606",2.5,91,"3,666","2,667","1,708",27.00%,7.20%,6.00%,5.60%,3.60%,2.30%,7.90%,20.70%,15.60%,14.10%,6.00%,4.50%,4.00%,1.70%,0.60%,"15,697","6,644","6,333",311,57.70%,6.2,"2,531.90",78745
DOWNTOWN,"7,635","4,379","6,357",1.5,"1,278",908,"3,471",159,3.60%,1.50%,1.00%,0.80%,0.40%,1.60%,11.70%,33.60%,17.90%,14.30%,5.50%,4.60%,4.10%,2.10%,0.90%,"7,635","5,670","4,379","1,291",33.30%,6.8,"1,117.20",78701
EAST CESAR CHAVEZ,"3,291","1,349","3,083",2.3,208,595,754,225,16.70%,6.10%,4.50%,4.60%,3.00%,1.90%,6.70%,21.20%,14.10%,13.10%,5.50%,4.80%,6.80%,5.30%,2.40%,"3,291","1,482","1,349",133,41.10%,7.6,430.8,78702
EAST CONGRESS,"3,104","1,374","3,100",2.3,4,610,764,246,17.90%,6.00%,4.30%,4.40%,3.00%,1.90%,12.50%,24.60%,13.60%,11.90%,5.50%,4.50%,5.40%,1.70%,0.80%,"3,104","1,446","1,374",72,50.30%,4,771.9,78704
EAST OAK HILL,"14,508","6,974","14,398",2.1,110,"3,455","3,519","1,615",23.20%,5.50%,5.60%,5.60%,2.90%,1.50%,7.20%,23.10%,14.70%,13.70%,6.30%,4.90%,4.40%,2.70%,1.80%,"14,508","7,389","6,974",415,40.80%,2.9,"5,042.20",78735
FOUR POINTS,"6,226","3,087","6,017",1.9,209,"1,287","1,800",686,22.20%,5.70%,5.90%,4.90%,2.30%,4.10%,12.30%,25.50%,15.00%,12.90%,4.20%,3.10%,2.80%,1.00%,0.30%,"6,226","3,339","3,087",252,16.00%,1.3,"4,980.60",78730
FRANKLIN PARK,"16,927","4,313","16,914",3.9,13,"3,507",806,"2,226",51.60%,11.50%,10.20%,9.50%,5.50%,3.60%,9.30%,17.20%,13.50%,10.10%,3.50%,2.50%,2.50%,1.00%,0.10%,"16,927","4,507","4,313",194,45.00%,11.8,"1,428.50",78744
GALINDO,"3,512","1,745","3,489",2,23,640,"1,105",274,15.70%,5.40%,5.00%,4.70%,2.50%,2.00%,8.90%,26.80%,16.20%,12.60%,4.80%,4.10%,3.90%,2.40%,0.80%,"3,512","1,864","1,745",119,33.80%,8.1,433.5,78704
GARRISON PARK,"11,748","5,083","11,725",2.3,23,"2,637","2,446","1,124",22.10%,6.60%,5.50%,5.00%,2.90%,2.00%,9.00%,23.20%,14.40%,12.60%,5.50%,4.40%,5.20%,3.20%,0.70%,"11,748","5,581","5,083",498,48.70%,8.7,"1,357.80",78745
GATEWAY,"1,121",748,"1,121",1.5,0,168,580,52,7.00%,4.20%,1.60%,0.30%,0.50%,0.50%,14.10%,48.90%,15.10%,6.60%,3.80%,2.50%,1.00%,0.40%,0.40%,"1,121",815,748,67,0.00%,2.3,484.7,78759
